loop_cnt,region,inherit,reward,outcome,h,g,f
87901,0,3,0.1,2,3,59,62
87902,2,3,0.1,2,8,54,62
87904,3,2,0.1,2,12,50,62
87907,0,1,0.1,2,3,59,62
87908,2,3,0.1,2,8,54,62
87910,3,8,0.1,2,14,48,62
87911,0,0,0.1,2,4,58,62
87914,2,1,0,0,8,54,62
87916,3,5,0.1,2,14,47,61
87917,0,1,0.1,2,3,59,62
87918,3,3,0.1,2,14,48,62
87919,0,1,0.1,2,3,59,62
87920,3,4,0.1,2,14,47,61
87922,0,4,0.1,2,3,59,62
87924,3,3,0.1,2,13,49,62
87926,0,1,0.1,2,3,59,62
87927,3,7,0.1,2,14,48,62
87930,0,1,0.1,2,3,59,62
87934,3,5,0.1,2,13,49,62
87935,0,4,0.1,2,15,46,61
87937,3,4,0.1,2,13,49,62
87938,0,0,0.1,2,3,59,62
87939,1,5,0.1,2,23,39,62
87940,3,5,0.1,2,12,50,62
87941,1,4,0.1,2,23,39,62
87943,0,3,0.1,2,3,59,62
87944,3,2,0.1,2,12,50,62
87945,1,5,0.1,2,23,39,62
87946,2,2,0.1,2,8,54,62
87948,0,1,0.1,2,3,59,62
87949,3,5,0.1,2,12,49,61
87952,1,9,0.1,2,27,35,62
87953,2,2,0.1,2,8,54,62
87954,0,1,0,0,3,59,62
87955,3,6,0.1,2,12,50,62
87959,1,8,0.1,2,27,35,62
87961,2,2,0.1,2,8,54,62
87962,3,6,0.1,2,14,48,62
87964,1,5,0.1,2,27,35,62
87965,2,4,0.1,2,8,54,62
87966,3,5,0.1,2,13,49,62
87967,1,3,0.1,2,24,38,62
87969,2,1,0.1,2,8,54,62
87971,3,6,0.1,2,14,48,62
87974,1,3,0.1,2,24,38,62
87979,1,3,0.1,2,23,39,62
87980,3,3,0.1,2,12,50,62
87982,2,1,0.1,2,8,54,62
87984,1,4,0.1,2,28,34,62
87985,3,5,0.1,2,14,48,62
87987,2,2,0.1,2,8,54,62
87988,1,3,0.1,2,25,37,62
87989,3,4,0.1,2,12,50,62
87990,2,2,0.1,2,8,54,62
87991,1,6,0,0,28,34,62
87992,3,3,0.1,2,13,49,62
87994,2,2,0.1,2,8,54,62
87995,3,6,0.1,2,14,46,60
87998,0,0,0.1,2,4,58,62
88000,2,1,0.1,2,8,54,62
88001,3,5,0.1,2,14,48,62
88002,0,2,0.1,2,3,59,62
88003,2,1,0.1,2,8,54,62
88004,3,6,0.1,2,13,49,62
88006,0,1,0,0,3,59,62
88008,2,3,0.1,2,10,52,62
88011,3,3,0.1,2,13,48,61
88013,2,1,0.1,2,8,54,62
88014,3,6,0.1,2,14,48,62
88016,2,2,0.1,2,8,54,62
88018,3,5,0.1,2,14,48,62
88019,2,1,0.1,2,8,54,62
88021,3,5,0.1,2,13,49,62
88023,3,3,0.1,2,13,49,62
88028,2,4,0.1,2,8,54,62
88030,3,7,0.1,2,14,48,62
88031,2,3,0.1,2,8,54,62
88034,3,3,0.1,2,12,50,62
88038,2,1,0.1,2,8,54,62
88039,3,3,0.1,2,12,50,62
88040,0,0,0,0,3,59,62
88042,2,3,0.1,2,8,54,62
88043,3,4,0.1,2,12,50,62
