reduce_sec,add_K,add_Q,service_time_sec,mu,K,Q,total_cost,rho,throughput,side_buffer_rate,rejected_rate,profit_rate
1,2,6,14,4.285714285714286,5,8,22,0.8166666666666667,3.451003669902749,1.083461535044158,0.048996330097250955,58.88249121478418
2,1,3,13,4.615384615384615,4,5,20,0.7583333333333334,3.4251422320117,0.9253928307998263,0.07485776798829988,58.8539689541864
1,2,5,14,4.285714285714286,5,7,21,0.8166666666666667,3.4391526952936333,1.037996896975232,0.06084730470636639,58.65365958887982
3,0,3,12,5.0,3,5,21,0.7,3.436924255703423,1.0407291396967713,0.06307574429657652,58.520379667597
1,2,4,14,4.285714285714286,5,6,20,0.8166666666666667,3.4241748808117345,0.9805365667540122,0.07582511918826557,58.364451506554616
2,1,2,13,4.615384615384615,4,4,19,0.7583333333333334,3.399129038354618,0.844746676515324,0.10087096164538198,58.19847850560831
1,2,3,14,4.285714285714286,5,5,19,0.8166666666666667,3.405096904266729,0.9073465273424882,0.0949030957332711,57.99607299459654
4,0,0,11,5.454545454545454,3,2,24,0.6416666666666667,3.3533350213697317,0.5847799114217477,0.14666497863026828,57.988511777112606
3,0,2,12,5.0,3,4,20,0.7,3.408238093708488,0.9680670913635996,0.09176190629151212,57.66736795451559
1,2,2,14,4.285714285714286,5,4,18,0.8166666666666667,3.3805533103528,0.8131883968078745,0.11944668964720029,57.52215834317699
2,0,10,13,4.615384615384615,3,12,22,0.7583333333333334,3.4864975418307536,1.4889351316328487,0.013502458169246218,57.4133960384749
2,0,9,13,4.615384615384615,3,11,21,0.7583333333333334,3.4821256040032975,1.4768270624699913,0.017874395996702666,57.291663700404946
2,1,1,13,4.615384615384615,4,3,18,0.7583333333333334,3.3630360073819068,0.7328509907032849,0.136963992618093,57.28899244346907
2,0,8,13,4.615384615384615,3,10,20,0.7583333333333334,3.4763083754940864,1.4607162649459897,0.023691624505913632,57.1296886551364
1,1,10,14,4.285714285714286,4,12,21,0.8166666666666667,3.4740499272475303,1.4667249943181921,0.025950072752469848,56.968696407830976
0,3,10,15,4.0,6,12,25,0.875,3.457055403910432,1.36214018218598,0.04294459608956789,56.955648738033766
2,0,7,13,4.615384615384615,3,9,19,0.7583333333333334,3.4685453799125283,1.4392166711452359,0.031454620087471845,56.91353562646453
1,2,1,14,4.285714285714286,5,3,17,0.8166666666666667,3.3485708293270893,0.6904919965251689,0.15142917067291056,56.90460549415311
0,3,9,15,4.0,6,11,24,0.875,3.450310780624469,1.3293718833936647,0.049689219375531335,56.88056396407413
1,1,9,14,4.285714285714286,4,11,20,0.8166666666666667,3.4679870468647236,1.4456680208341866,0.03201295313527625,56.8340081765627
0,3,8,15,4.0,6,10,23,0.875,3.4423945000496006,1.2909111664339896,0.0576054999503994,56.79243567100811
0,3,7,15,4.0,6,9,22,0.875,3.4330634534193343,1.2455769037092015,0.06693654658066574,56.688557441293106
1,1,8,14,4.285714285714286,4,10,19,0.8166666666666667,3.4604386150450615,1.4194515826667435,0.03956138495493842,56.66631809091913
2,0,6,13,4.615384615384615,3,8,18,0.7583333333333334,3.4581452298490194,1.4104134856373747,0.04185477015098085,56.62395360735196
0,3,6,15,4.0,6,8,21,0.875,3.4220095433843536,1.1918722249611007,0.07799045661564673,56.56549936952887
1,1,7,14,4.285714285714286,4,9,18,0.8166666666666667,3.451003669902749,1.3866831001731537,0.048996330097250955,56.456718693752215
0,3,5,15,4.0,6,7,20,0.875,3.408836657961492,1.1278726467501743,0.09116334203850816,56.4188517240732
3,0,1,12,5.0,3,3,19,0.7,3.3653821948928653,0.8595130996636283,0.13461780510713448,56.39300494733424
0,3,4,15,4.0,6,6,19,0.875,3.393027033928901,1.0510626512724073,0.10697296607109885,56.242850486265795
2,0,5,13,4.615384615384615,3,7,17,0.7583333333333334,3.4441388809909146,1.3716229430024847,0.05586111900908518,56.23396050552586
1,1,6,14,4.285714285714286,4,8,17,0.8166666666666667,3.4391526952936333,1.3455235122631817,0.06084730470636639,56.19344666657622
1,2,0,14,4.285714285714286,5,2,16,0.8166666666666667,3.3061912997799197,0.527908746122168,0.19380870022008032,56.086295020018646
0,3,3,15,4.0,6,5,18,0.875,3.373890817843286,0.9580906319525507,0.12610918215671418,56.02981583654388
2,1,0,13,4.615384615384615,4,2,17,0.7583333333333334,3.3120324899871307,0.5747297854758906,0.18796751001286927,56.00378621554941
1,1,5,14,4.285714285714286,4,7,16,0.8166666666666667,3.4241748808117345,1.2935041052354426,0.07582511918826557,55.860711198703186
0,3,2,15,4.0,6,4,17,0.875,3.3504881290292285,0.8443902417174778,0.14951187097077168,55.7692845177216
2,0,4,13,4.615384615384615,3,6,16,0.7583333333333334,3.4251422320117,1.3190117786217048,0.07485776798829988,55.70501737161137
